userId,movieId,rating
702,253,4.0
702,111,5.0
702,288,3.0
702,16,5.0
702,1101,2.0
702,1,5.0
702,788,2.0
702,1196,4.5
702,47,5.0
702,442,1.5
702,110,4.0
702,780,3.5
702,858,5.0
702,260,3.5
702,480,4.0
702,1210,3.0
702,589,5.0
702,1240,3.0
702,356,5.0
702,296,5.0
702,1221,5.0
702,466,3.5
702,70,3.5
702,1213,5.0
702,1206,5.0
702,208,0.5
702,593,5.0
702,784,0.5
702,2,4.0
703,185,5.0
703,356,4.5
703,586,3.0
703,527,2.5
703,1,4.5
703,296,4.5
703,588,5.0
703,592,4.5
703,480,4.5
703,364,4.5
703,593,5.0
703,1270,4.5
703,260,3.5
703,648,5.0
703,344,5.0
703,587,3.0
703,110,4.5
703,1240,4.5
703,34,4.5
703,1097,4.0
703,589,4.5
704,293,4.5
704,231,4.0
704,1193,5.0
704,553,4.0
704,1203,5.0
704,350,4.0
704,784,4.0
704,673,4.0
704,1275,4.0
704,661,4.0
704,151,4.0
704,367,5.0
704,356,5.0
704,296,3.5
704,480,5.0
704,593,0.5
704,589,3.5
704,1,0.5
704,50,3.5
704,780,5.0
704,47,5.0
704,1210,2.0
704,858,4.0
704,592,3.5
704,380,5.0
704,608,2.5
704,377,2.5
704,648,0.5
704,903,4.0
704,596,0.5
704,1199,0.5
704,370,4.0
704,708,3.5
704,160,3.5
704,908,4.0
704,7,0.5
704,434,4.0
704,912,3.0
704,551,4.0
704,750,4.0
704,1259,1.5
704,1246,4.0
704,1220,4.0
704,788,5.0
704,16,5.0
704,317,3.0
704,48,1.5
704,266,1.5
704,1278,5.0
704,17,4.0
704,36,5.0
704,555,3.0
704,1035,3.5
704,786,4.0
704,435,4.5
704,158,0.5
704,1127,4.5
704,364,4.0
704,344,5.0
704,1214,2.0
704,1197,4.0
705,595,3.5
705,110,4.5
705,1240,5.0
705,318,5.0
705,367,3.5
705,356,2.0
705,589,4.5
705,480,4.5
705,260,0.5
705,1,0.5
705,150,1.5
705,1198,0.5
705,1210,0.5
705,858,5.0
705,587,4.0
705,592,3.5
705,588,4.0
705,364,5.0
705,648,5.0
705,344,2.5
705,924,3.5
705,339,0.5
705,48,2.0
705,1278,1.5
705,923,2.5
705,266,2.0
705,17,2.0
705,36,2.0
705,5,1.5
706,673,5.0
706,356,5.0
706,593,5.0
706,480,4.0
706,110,5.0
706,527,5.0
706,589,4.0
706,1,5.0
706,47,4.0
706,858,5.0
706,588,5.0
706,364,5.0
706,377,2.5
706,1270,5.0
706,344,5.0
706,648,5.0
706,1221,5.0
706,34,5.0
706,1097,5.0
706,587,5.0
706,253,4.5
706,924,5.0
706,788,5.0
706,317,2.5
706,158,5.0
706,7,5.0
706,145,4.5
706,216,5.0
706,783,5.0
706,1213,3.5
706,586,5.0
706,185,4.5
706,2,4.5
706,39,5.0
706,1101,5.0
706,1028,5.0
706,48,5.0
706,266,3.5
706,653,5.0
706,786,4.0
706,509,5.0
706,5,5.0
706,745,5.0
706,44,5.0
707,356,3.0
707,364,3.0
707,231,3.0
707,648,5.0
707,344,2.0
707,587,4.0
707,780,4.0
707,32,4.5
707,185,5.0
707,2,5.0
707,48,2.0
707,367,5.0
707,592,1.5
707,1214,4.0
707,1,5.0
707,1291,0.5
707,480,2.0
707,1196,0.5
707,410,4.0
707,588,3.5
708,364,5.0
708,296,3.5
708,593,4.0
708,260,5.0
708,480,5.0
708,589,3.0
708,527,4.0
708,1,5.0
708,1196,4.0
708,47,4.5
708,1210,3.5
708,588,5.0
708,1270,5.0
708,1097,5.0
708,586,3.0
708,587,3.5
708,2,3.5
708,39,4.5
708,597,3.5
708,356,5.0
709,858,5.0
709,588,3.0
709,364,5.0
709,1270,4.0
709,648,4.0
709,344,4.0
709,1221,5.0
709,34,3.0
709,356,5.0
709,318,5.0
709,296,5.0
709,593,5.0
709,260,4.0
709,480,5.0
709,589,3.0
709,110,5.0
709,527,5.0
709,1,4.0
709,1196,4.0
709,780,5.0
710,1270,4.0
710,1097,3.0
710,736,3.0
710,1240,4.0
710,587,0.5
710,364,5.0
710,10,5.0
710,344,5.0
710,260,5.0
710,480,5.0
710,110,3.0
710,589,4.0
710,1,5.0
710,1196,5.0
710,780,4.0
710,1198,4.0
710,1210,5.0
710,588,5.0
710,592,4.5
710,586,4.0
712,39,4.0
712,1097,2.0
712,586,5.0
712,1073,3.0
712,587,4.0
712,2,5.0
712,551,5.0
712,356,3.0
712,19,3.0
712,410,4.5
712,260,5.0
712,110,5.0
712,589,3.5
712,480,4.0
712,296,3.5
712,1,5.0
712,1196,5.0
712,527,0.5
712,1198,3.0
712,858,5.0
712,1210,5.0
712,592,5.0
712,588,5.0
712,32,4.0
712,1270,5.0
712,364,5.0
712,344,4.0
712,788,1.5
712,317,5.0
712,594,4.0
712,48,5.0
712,653,3.0
712,1035,4.0
712,158,3.0
712,552,4.0
712,466,1.5
712,596,3.5
712,420,3.0
712,1148,3.0
712,673,5.0
712,1282,5.0
712,145,5.0
712,5,4.0
712,783,0.5
712,745,3.0
712,44,2.0
712,34,0.5
713,586,4.5
713,364,4.5
